Settle Date;Security;Maturity;Bid Price;Ask Price;Accrued
2022.11.02;A240626B15;2024.06.26;84.878;85.2326;1.0603
2022.11.02;A311022A15;2031.10.22;60.2872;61.4154;0.0979
2022.11.02;A271027A16;2027.10.27;68.309;68.9069;0.0493
2022.11.02;A261222D17;2026.12.22;70.3869;70.9317;2.3733
2022.11.02;A230726B18;2023.07.26;101.14;101.6;0.3245
2022.11.02;A381027A18;2038.10.27;47.8131;48.8599;0.0493
2022.11.02;A241024C18;2024.10.24;81.5848;81.8792;0.0616
2022.11.02;A300821A19;2030.08.21;61.5583;62.6354;0.6
2022.11.02;A251126C19;2025.11.26;72.3069;72.7766;0.9342
2022.11.02;A270422B20;2027.04.22;100.5;100.85;0.5091
2022.11.02;A410425A20;2041.04.25;45.5264;46.3439;1.5699
2022.11.02;A230823C20;2023.08.23;91.8894;92.0346;0.2918
2022.11.02;A290523A20;2029.05.23;60.1006;60.8995;0.8932
2022.11.02;A260422E20;2026.04.22;70.5929;71.15;0.7973
2022.11.02;A330420A20;2033.04.20;51.063;52.1539;1.2082
2022.11.02;A340622A21;2034.06.22;49.6328;50.5646;0.8199
2022.11.02;A290822B21;2029.08.22;97.65;97.95;2.404
2022.11.02;A260826F21;2026.08.26;68.5278;69.0063;0.2795
2022.11.02;A510428G21;2051.04.28;48.0971;49.579;2.0603
2022.11.02;A280323B22;2028.03.23;72.1575;72.8777;3.5384
2022.11.02;A321124A22;2032.11.24;66.436;67.5674;3.7349
2022.11.02;A320527G22;2032.05.27;65.8641;67.0974;1.9603
2022.11.02;D230222;2023.02.22;96.5487;96.6184;0
2022.11.02;D230419;2023.04.19;94.9109;95.0245;0
2022.11.02;D230628;2023.06.28;92.4516;92.6044;0
2022.11.02;D230823;2023.08.23;90.6231;90.7709;0
2022.11.02;D230517;2023.05.17;93.3663;93.4946;0
2022.11.02;D231018;2023.10.18;88.4358;88.6263;0
2022.11.02;A320825B22;2032.08.25;96.6;96.97;0.5359
2022.11.03;A231124A07;2023.11.24;93.0158;93.1895;5.6548
2022.11.03;A281022A11;2028.10.22;81.3444;82.2284;0.2219
2022.11.03;A250624B14;2025.06.24;83.6653;83.8898;1.989
2022.11.03;A240626B15;2024.06.26;85.2912;85.4631;1.0685
2022.11.03;A311022A15;2031.10.22;60.8343;61.4225;0.1068
2022.11.03;A271027A16;2027.10.27;68.8336;69.2063;0.0575
2022.11.03;A261222D17;2026.12.22;70.6989;71.0966;2.3808
2022.11.03;A230726B18;2023.07.26;101.23;101.55;0.3709
2022.11.03;A381027A18;2038.10.27;48.1127;49.1173;0.0575
2022.11.03;A241024C18;2024.10.24;81.943;82.1966;0.0685
2022.11.03;A300821A19;2030.08.21;62.1411;62.8387;0.6082
